VIN_lastebil,VIN_tilhenger,̴r,ekvipasje
YV2R0P0G9JA834573,YT9T2020213001426,2021,4-akslet trekkvogn med 5-akslet tilhenger
YV2R0P0G9JA834573,YT9T2020213001426,2022,4-akslet trekkvogn med 5-akslet tilhenger
YV2RT60D3LA865845,YS940100150HP1179,2022,3-akslet trekkvogn med 4-akslet tilhenger
YV2RT40G8MA881846,SZFPL0300ELD09098,2023,4-akslet trekkvogn med 4-akslet tilhenger
YS2S8X40005652227,YT9T2021213001515,2023,4-akslet trekkvogn med 5-akslet tilhenger
YS2R6X40002186890,YS950200150HP1176,2023,3-akslet trekkvogn med 5-akslet tilhenger
YV2R0P0G9JA834573,YT9T2020213001426,2023,4-akslet trekkvogn med 5-akslet tilhenger
YV2R0P0G2NA891249,YT9T2015212001325,2023,4-akslet trekkvogn med 4-akslet tilhenger
YV2R0P0G2NA891249,YT9T2018212001982,2023,4-akslet trekkvogn med 4-akslet tilhenger
YS2R6X40002175084,YS950200220HP1973,2023,3-akslet trekkvogn med 5-akslet tilhenger
YS2S6X40005544509,YS950200160HP1228,2023,3-akslet trekkvogn med 5-akslet tilhenger
YS2R6X40002174412,YS950200190HP1555,2023,3-akslet trekkvogn med 5-akslet tilhenger
YS2S6X40002140896,YT9T2022213001977,2023,3-akslet trekkvogn med 5-akslet tilhenger
YS2S6X40002164298,YT9T2021213001694,2023,3-akslet trekkvogn med 5-akslet tilhenger
YV2R0P0G6NA310013,YT9T2022213001726,2023,4-akslet trekkvogn med 5-akslet tilhenger
YS2R6X40002170509,YT9T2018212001983,2024,3-akslet trekkvogn med 4-akslet tilhenger
YV2RT40G8MA881846,SZFPL0300ELD09098,2024,4-akslet trekkvogn med 4-akslet tilhenger
YS2R6X40002147130,YT9T2014212001092,2024,3-akslet trekkvogn med 5-akslet tilhenger
YS2R6X40002158609,YS950200210HP1810,2024,3-akslet trekkvogn med 5-akslet tilhenger
YS2S8X40005652227,YT9T2021213001515,2024,4-akslet trekkvogn med 5-akslet tilhenger
YS2R6X40002175084,YS950200220HP1973,2024,3-akslet trekkvogn med 5-akslet tilhenger
YV2R0P0G6NA310013,YT9T2022213001726,2024,4-akslet trekkvogn med 5-akslet tilhenger
YV2R0P0D1KA852539,YS940200230HP1957,2024,3-akslet trekkvogn med 5-akslet tilhenger
YV2R0P0G2NA891249,YT9T2018212001982,2024,4-akslet trekkvogn med 4-akslet tilhenger
YV2R0P0G2NA891249,YT9T2015212001325,2024,4-akslet trekkvogn med 4-akslet tilhenger
YS2R6X40002186890,YT9T2014212001092,2024,3-akslet trekkvogn med 5-akslet tilhenger
YS2R6X40005583741,YT9T2015212001217,2024,3-akslet trekkvogn med 4-akslet tilhenger
YS2R6X40002170595,YS940200190HP1512,2024,3-akslet trekkvogn med 4-akslet tilhenger
YS2S6X40002164298,YT9T2021213001694,2024,3-akslet trekkvogn med 5-akslet tilhenger
