location,startdate,enddate,3500.0-4465.0,4465.0-5430.0,5430.0-6395.0,6395.0-7360.0,7360.0-8325.0,8325.0-9290.0,9290.0-10255.0,10255.0-11220.0,11220.0-12185.0,12185.0-13150.0,13150.0-14115.0,14115.0-15080.0,15080.0-16045.0,16045.0-17010.0,17010.0-17975.0,17975.0-18940.0,18940.0-19905.0,19905.0-20870.0,20870.0-21835.0,21835.0-22800.0,22800.0-23765.0,23765.0-24730.0,24730.0-25695.0,25695.0-26660.0,26660.0-27625.0,27625.0-28590.0,28590.0-29555.0,29555.0-30520.0,30520.0-31485.0,31485.0-32450.0,32450.0-33415.0,33415.0-34380.0,34380.0-35345.0,35345.0-36310.0,36310.0-37275.0,37275.0-38240.0,38240.0-39205.0,39205.0-40170.0,40170.0-41135.0,41135.0-42100.0,42100.0-43065.0,43065.0-44030.0,44030.0-44995.0,44995.0-45960.0,45960.0-46925.0,46925.0-47890.0,47890.0-48855.0,48855.0-49820.0,49820.0-50785.0,50785.0-51750.0,51750.0-52715.0,52715.0-53680.0,53680.0-54645.0,54645.0-55610.0,55610.0-56575.0,56575.0-57540.0,57540.0-58505.0,58505.0-59470.0,59470.0-60435.0,60435.0-61400.0,61400.0-62365.0,62365.0-63330.0,63330.0-64295.0,64295.0-65260.0,65260.0-66225.0,66225.0-67190.0,67190.0-68155.0,68155.0-69120.0,69120.0-70085.0,70085.0-71050.0,71050.0-72015.0,72015.0-72980.0,72980.0-73945.0,73945.0-74910.0,74910.0-75875.0,75875.0-76840.0,76840.0-77805.0,77805.0-78770.0,78770.0-79735.0,79735.0-80700.0,80700.0-81665.0,81665.0-82630.0,82630.0-83595.0,83595.0-84560.0,84560.0-85525.0,85525.0-86490.0,86490.0-87455.0,87455.0-88420.0,88420.0-89385.0,89385.0-90350.0,90350.0-91315.0,91315.0-92280.0,92280.0-93245.0,93245.0-94210.0,94210.0-95175.0,95175.0-96140.0,96140.0-97105.0,97105.0-98070.0,98070.0-99035.0,99035.0-100000.0
Øysand,2016-08-08,2016-08-31,2568,737,395,221,281,427,616,647,745,1026,1174,1343,1532,1251,1291,1166,1056,1023,850,678,556,528,492,390,305,249,267,236,238,216,224,204,186,203,205,207,208,207,189,149,168,202,221,295,270,259,244,184,170,76,37,21,28,25,22,24,14,5,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,2016-08-31,2016-09-30,2752,942,519,310,374,567,699,782,1051,1426,1711,1814,1788,1756,1689,1690,1411,1335,1084,815,697,662,646,491,400,325,274,252,301,277,268,263,245,224,239,279,269,251,208,230,237,239,280,355,344,303,339,331,269,144,64,45,47,55,57,16,10,10,6,0,2,2,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,2016-09-30,2016-10-31,3046,911,511,374,394,492,712,826,895,1083,1530,1660,1763,1683,1615,1468,1356,1240,1108,853,730,723,636,593,488,357,331,266,264,269,260,232,267,264,248,217,230,245,243,233,227,214,274,289,347,298,306,248,220,206,141,74,47,51,65,47,47,27,18,10,7,3,6,4,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Øysand,2016-10-31,2016-11-30,3724,1114,497,349,261,370,555,671,781,901,1059,1290,1546,1554,1504,1473,1395,1336,1241,1051,901,788,746,647,634,513,443,366,312,230,214,265,253,249,252,254,239,277,293,269,267,257,254,240,249,239,269,257,244,159,191,157,166,134,69,39,40,54,30,24,11,12,8,5,3,3,2,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Øysand,2016-11-30,2016-12-31,3315,875,376,252,195,269,373,587,601,743,793,1036,1217,1214,1234,1191,1187,1067,984,968,839,683,640,549,525,475,418,352,270,223,196,204,215,163,192,175,214,230,218,207,243,236,231,182,203,237,183,200,226,183,144,155,152,142,95,76,36,26,23,21,24,7,7,6,3,4,3,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Øysand,2016-12-31,2017-01-31,3431,956,411,284,231,291,416,624,679,742,863,1087,1303,1345,1380,1340,1211,1209,1191,1114,1006,780,723,656,597,528,417,408,300,242,252,212,193,230,189,217,216,231,235,209,238,236,230,234,223,210,214,243,222,188,142,134,136,139,110,74,61,43,38,44,31,26,19,14,20,13,14,4,3,6,2,1,1,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0
Øysand,2017-01-31,2017-02-28,3866,1061,400,243,196,251,346,551,566,656,766,968,1144,1236,1249,1207,1126,1139,1126,1127,975,776,722,680,667,506,458,402,342,255,289,246,237,221,216,194,214,206,227,268,293,266,269,263,185,186,208,206,197,185,163,150,137,140,148,113,83,74,66,62,28,18,19,9,15,7,14,7,9,2,2,1,4,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,2017-02-28,2017-03-31,6087,1649,617,318,258,301,344,486,638,697,769,986,1153,1235,1318,1297,1316,1261,1243,1260,1232,959,782,760,712,656,566,503,457,355,307,240,222,236,233,222,224,233,255,238,305,289,298,319,267,253,227,234,257,258,257,170,198,165,185,215,172,134,94,72,45,23,25,19,23,17,8,9,15,11,8,8,4,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Øysand,2017-03-31,2017-04-05,1055,271,85,57,39,38,40,38,85,77,94,97,137,164,158,160,155,149,154,164,162,122,101,99,99,100,61,58,57,52,39,47,30,25,28,32,23,34,33,32,26,35,51,36,36,28,24,35,26,42,40,38,29,27,16,23,28,24,21,6,8,9,2,3,2,2,2,2,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,2018-03-16,2018-03-16,139,37,19,1,3,2,7,7,5,15,15,19,17,19,14,25,13,19,15,21,12,14,12,11,8,5,5,2,6,11,7,7,3,3,4,1,6,5,6,5,3,1,3,1,1,3,1,1,1,2,2,2,3,0,2,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Øysand,2018-04-03,2018-04-29,7545,1983,692,306,271,306,401,440,521,725,867,900,1000,1002,1064,968,1022,939,907,846,858,799,683,577,488,460,398,382,300,286,281,240,216,198,250,256,236,229,226,229,217,217,198,214,203,139,133,103,87,75,88,105,100,140,115,111,134,123,94,72,40,28,17,17,14,11,17,8,8,3,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Øysand,2018-05-22,2018-05-26,1407,407,134,56,53,69,84,88,97,107,138,145,192,186,185,196,158,192,177,182,155,144,121,95,87,73,82,59,62,55,60,32,36,33,48,40,36,47,51,47,39,34,38,27,49,36,22,20,18,16,17,13,25,26,20,33,48,40,46,25,21,12,2,0,1,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Øysand,2018-06-11,2018-06-30,8851,2772,698,307,242,297,293,362,443,531,681,806,874,890,915,880,881,801,826,816,743,678,625,529,472,438,338,322,285,271,210,195,179,172,200,189,216,196,190,176,172,172,184,185,145,145,131,108,86,73,85,93,105,74,100,100,121,137,132,126,83,47,30,13,11,8,6,5,3,3,6,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Øysand,2018-06-30,2018-07-11,3847,1295,354,142,137,126,137,181,171,256,363,375,354,404,411,406,391,377,371,323,336,301,257,217,184,176,157,140,140,125,95,100,83,107,88,103,88,94,80,89,84,86,90,57,63,62,39,37,28,37,57,56,48,56,57,47,75,75,74,40,27,23,10,2,3,6,0,2,1,2,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Øysand,2018-08-10,2018-08-31,8981,2843,795,337,254,353,306,428,452,629,790,943,968,951,1080,1027,946,866,939,760,787,714,681,605,505,459,381,425,331,331,285,259,218,227,197,279,270,304,224,201,200,194,200,203,188,132,110,80,79,88,92,91,100,107,122,120,146,183,167,180,141,126,66,41,19,9,7,7,2,4,3,6,4,5,2,3,1,3,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Øysand,2018-08-31,2018-09-30,10959,2973,952,398,353,416,474,608,647,824,1044,1224,1334,1273,1433,1423,1398,1255,1253,1075,1077,965,927,787,668,589,523,495,491,424,391,332,326,304,325,322,328,345,290,281,255,274,244,283,247,197,136,120,128,130,133,117,133,140,146,158,210,200,236,262,216,175,116,68,34,27,12,8,6,7,9,2,1,0,2,0,1,2,3,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Skibotn,2018-09-30,2018-12-31,1441,584,242,73,67,55,70,59,78,86,79,110,157,246,276,296,297,260,248,254,257,266,214,241,238,221,223,219,221,217,191,176,171,175,167,167,168,195,178,194,222,234,249,304,293,258,181,159,149,127,122,102,77,63,47,26,24,22,21,20,18,16,11,15,10,10,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Skibotn,2018-12-31,2019-12-31,21669,10039,2607,947,392,316,324,292,309,380,364,421,465,543,633,893,1014,926,996,982,1036,951,845,831,863,800,834,788,772,744,762,768,771,785,671,690,693,644,696,672,639,642,610,678,668,737,735,703,747,679,658,582,597,507,479,392,368,324,292,239,181,188,187,147,97,92,86,82,77,88,47,58,49,59,47,30,15,15,12,5,7,1,7,2,1,0,0,0,0,0,2,0,0,0,2,1,0,1,2,2
Skibotn,2019-12-31,2020-09-30,18401,13567,6050,1700,650,223,161,152,150,186,196,245,244,250,264,319,326,372,453,526,616,666,642,577,610,576,557,576,582,555,525,554,522,607,583,561,602,581,565,511,534,476,494,523,494,487,478,402,406,442,447,447,498,453,534,506,498,551,531,531,463,412,379,340,321,226,233,175,150,108,111,79,68,56,53,61,53,50,63,61,47,43,45,33,21,34,24,17,13,6,8,3,3,1,1,1,0,1,1,1
Verdal,2015-05-12,2015-05-31,1533,343,204,161,108,129,149,156,211,269,342,350,308,321,308,343,455,470,388,385,442,363,324,268,269,247,214,216,192,170,161,156,139,122,132,118,126,80,81,75,97,67,104,117,107,152,175,146,100,64,29,15,9,9,15,9,10,3,7,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,2015-05-31,2015-06-30,3275,735,427,272,221,211,267,309,419,569,639,705,638,625,669,651,806,919,775,682,698,594,561,494,407,434,349,304,319,301,301,210,237,234,221,227,215,172,158,126,128,167,192,199,252,298,345,303,215,115,54,9,7,6,20,27,28,29,15,12,3,1,2,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,2015-06-30,2015-07-31,4267,802,401,218,179,188,251,258,425,437,433,433,492,540,560,479,622,561,516,465,467,524,480,398,323,294,284,288,314,299,286,244,246,234,229,197,157,137,105,116,119,121,158,162,177,265,266,252,150,82,31,15,6,4,7,15,15,18,9,8,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,2015-07-31,2015-08-31,2966,629,389,245,184,227,229,238,382,519,550,656,579,596,563,569,716,700,612,576,539,560,481,443,377,319,336,319,308,244,283,265,257,234,218,219,168,156,130,112,129,155,180,209,273,295,315,254,174,83,35,16,14,13,15,24,23,18,12,6,4,1,2,0,3,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,2015-08-31,2015-09-30,2346,605,435,304,216,232,296,276,477,575,707,730,683,631,711,632,759,795,743,701,667,641,558,490,418,426,377,359,352,330,269,255,263,245,258,224,194,168,136,120,152,169,180,222,287,315,380,350,231,127,58,25,8,19,31,25,31,26,18,4,4,3,2,1,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,2015-10-31,2015-11-30,1704,422,339,179,154,161,232,206,391,492,583,600,636,614,594,510,629,677,607,573,621,587,509,494,429,449,382,328,294,287,275,258,245,210,252,252,193,168,164,147,114,145,181,220,244,300,332,259,171,77,34,19,10,8,8,12,24,27,17,8,3,2,2,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,2015-11-30,2015-12-31,1248,292,272,149,100,153,194,209,342,456,533,479,471,495,480,402,573,618,565,531,532,436,414,403,316,333,256,297,254,220,209,214,197,196,190,190,163,143,104,94,97,91,129,182,239,297,279,215,136,72,42,27,15,9,25,30,25,14,13,4,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,2015-12-31,2016-01-31,1156,299,268,163,114,155,264,202,362,394,564,506,493,484,498,431,536,572,585,572,510,512,424,349,349,330,284,284,274,295,258,211,196,210,208,189,169,120,121,117,123,115,137,185,231,276,314,240,190,110,51,35,24,20,20,45,47,32,22,15,10,7,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Verdal,2016-01-31,2016-02-29,1513,416,343,153,123,126,189,239,337,462,584,533,565,586,516,476,659,744,741,719,647,576,466,393,404,335,309,342,322,309,250,253,234,218,241,223,187,167,150,107,107,148,154,138,197,250,338,266,235,131,64,50,22,32,34,23,43,45,24,23,8,5,0,2,0,0,1,0,2,1,0,3,1,2,0,3,2,2,4,4,4,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Verdal,2016-02-29,2016-03-31,1774,446,359,139,120,118,237,219,304,412,638,646,740,636,604,512,545,709,748,659,664,653,507,452,397,331,336,305,368,352,308,221,220,226,208,207,199,177,166,128,102,118,130,167,157,211,270,308,330,203,120,60,18,8,14,15,16,32,25,9,7,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Verdal,2016-04-30,2016-05-31,3519,725,418,247,176,140,220,248,253,383,466,650,502,501,590,590,558,645,712,644,723,665,678,658,625,519,401,349,328,309,286,301,278,235,246,237,228,236,206,183,163,133,149,142,164,166,209,261,300,289,215,161,92,44,12,7,11,12,14,19,8,10,4,1,0,0,4,1,1,0,0,0,1,1,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Ånestad(østgående),2022-10-13,2022-10-20,980,216,81,43,27,44,43,57,43,73,64,70,90,128,151,140,146,152,136,134,125,124,126,130,138,118,132,114,99,126,115,107,101,86,89,101,79,86,86,69,70,64,45,55,52,60,46,37,58,53,62,63,46,45,17,12,11,11,6,8,8,6,13,6,4,6,2,1,1,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ånestad(vestgående),2022-10-13,2022-10-20,916,231,85,64,82,56,45,51,55,80,76,88,111,121,200,209,203,152,110,133,121,122,109,85,122,96,100,85,65,56,67,64,63,69,58,60,65,51,71,80,95,79,118,128,119,108,101,74,91,64,76,62,50,42,31,17,7,12,8,10,8,2,4,7,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
